energia_uj,timestamp_s
205112911494,4284.463286668
205116186265,4285.463795932
205120121741,4286.46440674
205123765103,4287.465042806
205127238239,4288.465656417
205130847300,4289.466381779
205134357789,4290.46708003
205137908317,4291.467665786
205141637494,4292.468257199
205145322238,4293.468869683
205148869898,4294.469510693
205152226517,4295.470194709
205156287237,4296.470883749
205159630978,4297.471470923
205163191577,4298.472143331
205166584513,4299.47285077
205170069795,4300.473455251
205173252404,4301.47410616
205176874648,4302.474748589
205180228643,4303.475474313
205183821346,4304.47615008
205187317553,4305.476810994
205190932961,4306.477460288
205194579131,4307.478138862
205198028524,4308.478838411
205201417004,4309.479503094
205204795475,4310.480185574
205208385492,4311.480821996
205211675096,4312.48151545
205215096046,4313.482197999
